prim_db	prim_id	prim_alt	sec_db	sec_id	sec_alt	trim_left	trim_right	red_db	red_id	red_alt	E-value	gap	orient	count	total	adj_p-value	p-value
HOCOMOCOv11_core_HUMAN_mono_meme_format	ZN708_HUMAN.H11MO.0.C	.	HOCOMOCOv11_core_HUMAN_mono_meme_format	IRF3_HUMAN.H11MO.0.B	.	0	0	.	.	.	8.10e-02	2	0	23	3242	1.82e-08	1.64e-07
HOCOMOCOv11_core_HUMAN_mono_meme_format	ZN708_HUMAN.H11MO.0.C	.	HOCOMOCOv11_core_HUMAN_mono_meme_format	TEAD4_HUMAN.H11MO.0.A	.	0	5	.	.	.	2.76e-01	55	5	17	1084	5.67e-08	5.11e-07
HOCOMOCOv11_core_HUMAN_mono_meme_format	ZN708_HUMAN.H11MO.0.C	.	HOCOMOCOv11_core_HUMAN_mono_meme_format	TEAD4_HUMAN.H11MO.0.A	.	0	5	.	.	.	2.76e-01	55	0	12	1084	8.37e-08	7.53e-07
HOCOMOCOv11_core_HUMAN_mono_meme_format	ZN708_HUMAN.H11MO.0.C	.	HOCOMOCOv11_core_HUMAN_mono_meme_format	IRF7_HUMAN.H11MO.0.C	.	0	0	.	.	.	2.36e+00	11	0	15	1986	4.93e-07	4.44e-06
HOCOMOCOv11_core_HUMAN_mono_meme_format	ZN708_HUMAN.H11MO.0.C	.	HOCOMOCOv11_core_HUMAN_mono_meme_format	TBX3_HUMAN.H11MO.0.C	.	2	0	.	.	.	2.69e+00	10	4	26	2644	5.58e-07	5.02e-06
HOCOMOCOv11_core_HUMAN_mono_meme_format	ZN708_HUMAN.H11MO.0.C	.	HOCOMOCOv11_core_HUMAN_mono_meme_format	PPARG_HUMAN.H11MO.0.A	.	1	0	.	.	.	2.90e+00	16	2	13	1470	6.33e-07	5.69e-06
HOCOMOCOv11_core_HUMAN_mono_meme_format	ZN708_HUMAN.H11MO.0.C	.	HOCOMOCOv11_core_HUMAN_mono_meme_format	COT1_HUMAN.H11MO.0.C	.	0	2	HOCOMOCOv11_core_HUMAN_mono_meme_format	PPARG_HUMAN.H11MO.0.A	.	8.88e+00	18	2	13	1649	1.94e-06	1.75e-05
HOCOMOCOv11_core_HUMAN_mono_meme_format	ZN708_HUMAN.H11MO.0.C	.	HOCOMOCOv11_core_HUMAN_mono_meme_format	BC11A_HUMAN.H11MO.0.A	.	1	1	.	.	.	3.41e+00	6	0	21	3617	7.39e-07	6.65e-06
HOCOMOCOv11_core_HUMAN_mono_meme_format	ZN708_HUMAN.H11MO.0.C	.	HOCOMOCOv11_core_HUMAN_mono_meme_format	ERG_HUMAN.H11MO.0.A	.	1	0	.	.	.	3.90e+00	36	8	36	2186	8.28e-07	7.46e-06
HOCOMOCOv11_core_HUMAN_mono_meme_format	ZN708_HUMAN.H11MO.0.C	.	HOCOMOCOv11_core_HUMAN_mono_meme_format	ERG_HUMAN.H11MO.0.A	.	1	0	.	.	.	3.90e+00	36	4	23	2186	9.20e-07	8.28e-06
HOCOMOCOv11_core_HUMAN_mono_meme_format	ZN708_HUMAN.H11MO.0.C	.	HOCOMOCOv11_core_HUMAN_mono_meme_format	ERG_HUMAN.H11MO.0.A	.	1	0	.	.	.	3.90e+00	36	6	23	2186	9.20e-07	8.28e-06
HOCOMOCOv11_core_HUMAN_mono_meme_format	ZN708_HUMAN.H11MO.0.C	.	HOCOMOCOv11_core_HUMAN_mono_meme_format	ELF5_HUMAN.H11MO.0.A	.	3	2	HOCOMOCOv11_core_HUMAN_mono_meme_format	ERG_HUMAN.H11MO.0.A	.	5.04e+00	36	6	19	1623	1.06e-06	9.52e-06
