prim_db	prim_id	prim_alt	sec_db	sec_id	sec_alt	trim_left	trim_right	red_db	red_id	red_alt	E-value	gap	orient	count	total	adj_p-value	p-value
dreme.xml	TGAGTCAB	DREME	HOCOMOCOv11_core_HUMAN_mono_meme_format	GFI1_HUMAN.H11MO.0.C	.	0	0	.	.	.	3.95e-14	6	0	20	551	8.25e-21	7.42e-20
dreme.xml	TGAGTCAB	DREME	HOCOMOCOv11_core_HUMAN_mono_meme_format	GFI1_HUMAN.H11MO.0.C	.	0	0	.	.	.	3.95e-14	6	4	23	551	2.20e-18	1.98e-17
dreme.xml	TGAGTCAB	DREME	HOCOMOCOv11_core_HUMAN_mono_meme_format	GFI1_HUMAN.H11MO.0.C	.	0	0	.	.	.	3.95e-14	6	5	21	551	3.16e-16	2.84e-15
dreme.xml	TGAGTCAB	DREME	HOCOMOCOv11_core_HUMAN_mono_meme_format	GFI1_HUMAN.H11MO.0.C	.	0	0	.	.	.	3.95e-14	6	8	24	551	4.79e-13	4.31e-12
dreme.xml	TGAGTCAB	DREME	HOCOMOCOv11_core_HUMAN_mono_meme_format	OTX2_HUMAN.H11MO.0.A	.	1	1	HOCOMOCOv11_core_HUMAN_mono_meme_format	GFI1_HUMAN.H11MO.0.C	.	6.52e-14	5	0	19	483	1.35e-20	1.21e-19
dreme.xml	TGAGTCAB	DREME	HOCOMOCOv11_core_HUMAN_mono_meme_format	OTX2_HUMAN.H11MO.0.A	.	1	1	HOCOMOCOv11_core_HUMAN_mono_meme_format	GFI1_HUMAN.H11MO.0.C	.	6.52e-14	5	4	20	483	2.66e-16	2.39e-15
dreme.xml	TGAGTCAB	DREME	HOCOMOCOv11_core_HUMAN_mono_meme_format	OTX2_HUMAN.H11MO.0.A	.	1	1	HOCOMOCOv11_core_HUMAN_mono_meme_format	GFI1_HUMAN.H11MO.0.C	.	6.52e-14	5	5	19	483	3.26e-15	2.93e-14
dreme.xml	TGAGTCAB	DREME	HOCOMOCOv11_core_HUMAN_mono_meme_format	OTX2_HUMAN.H11MO.0.A	.	1	1	HOCOMOCOv11_core_HUMAN_mono_meme_format	GFI1_HUMAN.H11MO.0.C	.	6.52e-14	5	8	20	483	5.91e-11	5.32e-10
dreme.xml	TGAGTCAB	DREME	HOCOMOCOv11_core_HUMAN_mono_meme_format	ZN449_HUMAN.H11MO.0.C	.	1	0	HOCOMOCOv11_core_HUMAN_mono_meme_format	GFI1_HUMAN.H11MO.0.C	.	1.87e-09	7	0	16	512	3.90e-16	3.51e-15
dreme.xml	TGAGTCAB	DREME	HOCOMOCOv11_core_HUMAN_mono_meme_format	ZN449_HUMAN.H11MO.0.C	.	1	0	HOCOMOCOv11_core_HUMAN_mono_meme_format	GFI1_HUMAN.H11MO.0.C	.	1.87e-09	7	4	18	512	1.12e-13	1.01e-12
dreme.xml	TGAGTCAB	DREME	HOCOMOCOv11_core_HUMAN_mono_meme_format	ZN449_HUMAN.H11MO.0.C	.	1	0	HOCOMOCOv11_core_HUMAN_mono_meme_format	GFI1_HUMAN.H11MO.0.C	.	1.87e-09	7	5	17	512	1.15e-12	1.04e-11
dreme.xml	TGAGTCAB	DREME	HOCOMOCOv11_core_HUMAN_mono_meme_format	ZN449_HUMAN.H11MO.0.C	.	1	0	HOCOMOCOv11_core_HUMAN_mono_meme_format	GFI1_HUMAN.H11MO.0.C	.	1.87e-09	7	8	19	512	1.03e-09	9.30e-09
dreme.xml	TGAGTCAB	DREME	HOCOMOCOv11_core_HUMAN_mono_meme_format	ZN449_HUMAN.H11MO.0.C	.	1	0	HOCOMOCOv11_core_HUMAN_mono_meme_format	GFI1_HUMAN.H11MO.0.C	.	1.87e-09	61	0	8	512	5.46e-07	4.91e-06
dreme.xml	TGAGTCAB	DREME	HOCOMOCOv11_core_HUMAN_mono_meme_format	MAF_HUMAN.H11MO.0.A	.	2	2	HOCOMOCOv11_core_HUMAN_mono_meme_format	GFI1_HUMAN.H11MO.0.C	.	4.43e-08	5	0	17	723	9.57e-15	8.61e-14
dreme.xml	TGAGTCAB	DREME	HOCOMOCOv11_core_HUMAN_mono_meme_format	MAF_HUMAN.H11MO.0.A	.	2	2	HOCOMOCOv11_core_HUMAN_mono_meme_format	GFI1_HUMAN.H11MO.0.C	.	4.43e-08	5	5	19	723	7.21e-12	6.49e-11
dreme.xml	TGAGTCAB	DREME	HOCOMOCOv11_core_HUMAN_mono_meme_format	MAF_HUMAN.H11MO.0.A	.	2	2	HOCOMOCOv11_core_HUMAN_mono_meme_format	GFI1_HUMAN.H11MO.0.C	.	4.43e-08	5	4	18	723	5.31e-11	4.77e-10
dreme.xml	TGAGTCAB	DREME	HOCOMOCOv11_core_HUMAN_mono_meme_format	MAF_HUMAN.H11MO.0.A	.	2	2	HOCOMOCOv11_core_HUMAN_mono_meme_format	GFI1_HUMAN.H11MO.0.C	.	4.43e-08	5	8	21	723	2.06e-08	1.85e-07
dreme.xml	TGAGTCAB	DREME	HOCOMOCOv11_core_HUMAN_mono_meme_format	ALX1_HUMAN.H11MO.0.B	.	1	0	HOCOMOCOv11_core_HUMAN_mono_meme_format	GFI1_HUMAN.H11MO.0.C	.	8.28e-08	6	0	14	440	1.74e-14	1.56e-13
