prim_db	prim_id	prim_alt	sec_db	sec_id	sec_alt	trim_left	trim_right	red_db	red_id	red_alt	E-value	gap	orient	count	total	adj_p-value	p-value
meme.xml	2	MEME	meme.xml	5	MEME	0	0	.	.	.	1.07e-02	6	2	5	40	2.59e-09	2.33e-08
meme.xml	2	MEME	meme.xml	5	MEME	0	0	.	.	.	1.07e-02	6	6	5	40	7.81e-08	7.03e-07
meme.xml	2	MEME	meme.xml	5	MEME	0	0	.	.	.	1.07e-02	6	7	5	40	7.81e-08	7.03e-07
meme.xml	2	MEME	meme.xml	5	MEME	0	0	.	.	.	1.07e-02	30	2	4	40	1.74e-07	1.57e-06
meme.xml	2	MEME	meme.xml	5	MEME	0	0	.	.	.	1.07e-02	6	8	5	40	2.22e-06	1.99e-05
meme.xml	2	MEME	meme.xml	5	MEME	0	0	.	.	.	1.07e-02	30	6	4	40	2.63e-06	2.37e-05
meme.xml	2	MEME	meme.xml	5	MEME	0	0	.	.	.	1.07e-02	30	7	4	40	2.63e-06	2.37e-05
meme.xml	2	MEME	HOCOMOCOv11_core_HUMAN_mono_meme_format	SP3_HUMAN.H11MO.0.B	.	4	5	.	.	.	3.92e-02	135	8	38	1958	8.24e-09	7.41e-08
meme.xml	2	MEME	HOCOMOCOv11_core_HUMAN_mono_meme_format	ZSC22_HUMAN.H11MO.0.C	.	1	0	.	.	.	6.15e-02	135	8	26	1035	1.33e-08	1.20e-07
meme.xml	2	MEME	HOCOMOCOv11_core_HUMAN_mono_meme_format	ZSC22_HUMAN.H11MO.0.C	.	1	0	.	.	.	6.15e-02	135	5	15	1035	1.18e-06	1.07e-05
meme.xml	2	MEME	HOCOMOCOv11_core_HUMAN_mono_meme_format	WT1_HUMAN.H11MO.0.C	.	0	0	.	.	.	6.38e-02	130	8	30	1278	1.43e-08	1.29e-07
meme.xml	2	MEME	HOCOMOCOv11_core_HUMAN_mono_meme_format	WT1_HUMAN.H11MO.0.C	.	0	0	.	.	.	6.38e-02	130	4	17	1278	1.54e-06	1.38e-05
meme.xml	2	MEME	HOCOMOCOv11_core_HUMAN_mono_meme_format	WT1_HUMAN.H11MO.0.C	.	0	0	.	.	.	6.38e-02	130	5	17	1278	1.54e-06	1.38e-05
meme.xml	2	MEME	HOCOMOCOv11_core_HUMAN_mono_meme_format	TAF1_HUMAN.H11MO.0.A	.	0	0	.	.	.	4.72e-01	134	5	25	2139	1.03e-07	9.25e-07
meme.xml	2	MEME	HOCOMOCOv11_core_HUMAN_mono_meme_format	TAF1_HUMAN.H11MO.0.A	.	0	0	.	.	.	4.72e-01	134	8	38	2139	1.64e-07	1.47e-06
meme.xml	2	MEME	HOCOMOCOv11_core_HUMAN_mono_meme_format	TFDP1_HUMAN.H11MO.0.C	.	1	2	.	.	.	7.08e-01	139	8	30	1531	1.49e-07	1.34e-06
